created_at,mean
2020-12-01,-0.0024908667830133777
2020-12-02,0.044003753846153786
2020-12-03,0.029418767351471403
2020-12-04,0.023101015531660638
2020-12-05,-0.015740504731861144
2020-12-06,0.014540903307888048
2020-12-07,0.05790005170630794
2020-12-08,0.050564421052631564
2020-12-09,0.016179250263991574
2020-12-10,-0.0039855747126436815
2020-12-11,-0.011469290399522953
2020-12-12,0.03061530748663103
2020-12-13,0.0184869652406417
2020-12-14,0.021632866707242834
2020-12-15,0.033903785310734486
2020-12-16,0.010572920156337234
2020-12-17,0.018071443569553806
2020-12-18,0.01315970556161397
2020-12-19,-0.02730084985835699
2020-12-20,-0.03342873696407883
2020-12-21,0.004276555793991403
2020-12-22,0.041420261780104696
2020-12-23,0.06516650326797369
2020-12-24,0.04915322981366453
2020-12-25,0.07850656871218649
2020-12-26,-0.0315827067669174
2020-12-27,-0.020897034482758634
2020-12-28,0.037410140500916345
2020-12-29,-0.0010398314606741641
2020-12-30,-0.009501174743024919
2020-12-31,0.041942893272635014
